schwebung 19.2cm
14.835 1.859 1.611
14.860 1.904 1.562
14.885 2.015 1.489
14.910 2.059 1.416
14.935 2.059 1.319
14.960 2.037 1.295
14.985 2.015 1.198
15.010 1.904 1.173
15.035 1.882 1.125
15.060 1.726 1.052
15.085 1.615 0.955
15.110 1.438 0.955
15.135 1.238 0.833
15.160 0.994 0.785
15.185 0.794 0.712
15.210 0.572 0.687
15.235 0.305 0.663
15.260 0.017 0.615
15.285 -0.227 0.542
15.310 -0.472 0.590
15.335 -0.671 0.493
15.360 -0.938 0.517
15.385 -1.204 0.517
15.410 -1.471 0.517
15.435 -1.737 0.517
15.460 -1.892 0.517
15.485 -2.159 0.517
15.510 -2.403 0.517
15.535 -2.514 0.566
15.560 -2.758 0.566
15.585 -2.891 0.517
15.610 -3.047 0.615
15.635 -3.091 0.615
15.660 -3.202 0.687
15.685 -3.291 0.615
15.710 -3.335 0.687
15.735 -3.313 0.760
15.760 -3.269 0.785
15.785 -3.224 0.785
15.810 -3.136 0.882
15.835 -3.025 0.930
15.860 -2.914 0.979
15.885 -2.758 0.955
15.910 -2.647 1.003
15.935 -2.425 1.076
15.960 -2.203 1.101
15.985 -1.959 1.125
16.010 -1.781 1.173
16.035 -1.559 1.222
16.060 -1.271 1.222
16.085 -1.004 1.222
16.110 -0.738 1.271
16.135 -0.538 1.271
16.160 -0.227 1.344
16.185 0.061 1.319
16.210 0.261 1.344
16.235 0.572 1.368
16.260 0.749 1.368
16.285 1.016 1.368
16.310 1.193 1.344
16.335 1.438 1.344
16.360 1.571 1.368
16.385 1.704 1.344
16.410 1.793 1.344
16.435 1.882 1.319
16.460 2.015 1.344
16.485 2.104 1.392
16.510 2.081 1.368
16.535 2.126 1.368
16.560 2.037 1.344
16.585 1.926 1.295
16.610 1.837 1.344
16.635 1.793 1.319
16.660 1.637 1.295
16.685 1.438 1.271
16.710 1.282 1.222
16.735 1.105 1.198
16.760 0.838 1.246
16.785 0.683 1.222
16.810 0.416 1.173
16.835 0.128 1.125
16.860 -0.205 1.125
16.885 -0.472 1.125
16.910 -0.671 1.101
16.935 -0.916 1.076
16.960 -1.204 1.101
16.985 -1.448 1.052
17.010 -1.670 1.003
17.035 -1.915 0.979
17.060 -2.159 0.955
17.085 -2.359 0.930
17.110 -2.625 0.930
17.135 -2.714 0.882
17.160 -2.914 0.858
17.185 -3.047 0.833
17.210 -3.136 0.809
17.235 -3.180 0.809
17.260 -3.224 0.809
17.285 -3.247 0.785
17.310 -3.291 0.736
17.335 -3.247 0.663
17.360 -3.202 0.736
17.385 -3.113 0.712
17.410 -3.113 0.687
17.435 -2.891 0.687
17.460 -2.803 0.712
17.485 -2.647 0.663
17.510 -2.447 0.663
17.535 -2.292 0.615
17.560 -2.026 0.687
17.585 -1.804 0.687
17.610 -1.582 0.736
17.635 -1.315 0.687
17.660 -1.071 0.736
17.685 -0.805 0.663
17.710 -0.560 0.687
17.735 -0.272 0.712
17.760 -0.072 0.809
17.785 0.239 0.809
17.810 0.439 0.882
17.835 0.705 0.858
17.860 0.905 0.906
17.885 1.127 0.979
17.910 1.349 1.052
17.935 1.549 1.076
17.960 1.660 1.101
17.985 1.793 1.125
18.010 1.904 1.173
18.035 1.948 1.246
18.060 2.015 1.344
18.085 2.015 1.344
18.110 1.993 1.368
18.135 2.015 1.416
18.160 1.948 1.489
18.185 1.815 1.465
18.210 1.771 1.538
18.235 1.593 1.514
18.260 1.393 1.562
18.285 1.304 1.635
18.310 1.060 1.659
18.335 0.838 1.659
18.360 0.594 1.659
18.385 0.372 1.659
18.410 0.128 1.635
18.435 -0.050 1.659
18.460 -0.338 1.611
18.485 -0.627 1.587
18.510 -0.849 1.562
