E_1 / keV	N_1	E_2 / keV	N_2	E_3 / keV	N_3	E_4 / keV	N_4	E_5 / keV	N_5	E_6 / keV	N_6	E_8 / keV	N_8
9.07	0	9.07	7	9.07	4	9.07	567	9.07	266	9.07	7	9.07	0
9.14	1	9.14	9	9.14	15	9.14	329	9.14	243	9.14	8	9.14	2
9.20	1	9.20	5	9.20	16	9.20	263	9.20	155	9.20	6	9.20	5
9.27	0	9.27	15	9.27	21	9.27	236	9.27	118	9.27	10	9.27	2
9.34	2	9.34	14	9.34	21	9.34	255	9.34	65	9.34	6	9.34	8
9.40	0	9.40	15	9.40	17	9.40	284	9.40	47	9.40	4	9.40	4
9.47	1	9.47	14	9.47	19	9.47	296	9.47	21	9.47	3	9.47	5
9.54	1	9.54	16	9.54	35	9.54	355	9.54	12	9.54	9	9.54	6
9.60	1	9.60	27	9.60	37	9.60	418	9.60	5	9.60	4	9.60	6
9.67	0	9.67	30	9.67	39	9.67	403	9.67	3	9.67	6	9.67	8
9.74	1	9.74	21	9.74	32	9.74	376	9.74	6	9.74	5	9.74	13
9.80	4	9.80	19	9.80	33	9.80	309	9.80	5	9.80	3	9.80	7
9.87	1	9.87	27	9.87	39	9.87	265	9.87	1	9.87	5	9.87	6
9.94	2	9.94	21	9.94	28	9.94	220	9.94	4	9.94	3	9.94	6
10.00	1	10.00	10	10.00	25	10.00	193	10.00	1	10.00	2	10.00	6
10.07	2	10.07	9	10.07	18	10.07	135	10.07	2	10.07	3	10.07	6
10.14	1	10.14	5	10.14	11	10.14	105	10.14	3	10.14	0	10.14	1
10.20	1	10.20	2	10.20	9	10.20	78	10.20	1	10.20	3	10.20	4
10.27	3	10.27	4	10.27	11	10.27	68	10.27	2	10.27	0	10.27	2
10.34	1	10.34	6	10.34	8	10.34	46	10.34	0	10.34	6	10.34	2
10.40	2	10.40	5	10.40	5	10.40	42	10.40	2	10.40	0	10.40	2
